Skenario,Metode,Avg BRISQUE,Avg NIQE,Akurasi,F1-Score,Improvement
Jarak Dekat (< 7m),Original,0.00,0.00,79.26%,80.68%,-
,Restored,0.00,0.00,72.95%,75.61%,-7.96%
Jarak Menengah (7-12m),Original,0.00,0.00,50.11%,53.28%,-
,Restored,0.00,0.00,68.18%,68.12%,+36.05%
Jarak Jauh (>= 12m),Original,0.00,0.00,10.04%,3.01%,-
,Restored,0.00,0.00,36.98%,33.50%,+268.29%
Ketinggian 1.5m,Original,0.00,0.00,56.47%,63.34%,-
,Restored,0.00,0.00,62.17%,63.04%,+10.09%
Ketinggian 3m,Original,0.00,0.00,53.98%,59.19%,-
,Restored,0.00,0.00,67.74%,67.99%,+25.49%
Ketinggian 4m,Original,0.00,0.00,45.59%,50.39%,-
,Restored,0.00,0.00,61.58%,62.29%,+35.09%
Ketinggian 5m,Original,0.00,0.00,24.70%,23.28%,-
,Restored,0.00,0.00,43.11%,42.89%,+74.54%
Semua Data Uji,Original,0.00,0.00,45.30%,51.00%,-
,Restored,0.00,0.00,58.65%,59.92%,+29.47%
