Model,Akurasi Original,Akurasi Restored,Peningkatan
K-Nearest Neighbors (KNN),46.56%,61.88%,+32.9%
Support Vector Machine (SVM),49.30%,62.83%,+27.5%
Cosine Similarity,55.22%,66.28%,+20.0%
