Skenario,Metode,Akurasi (Top-1),Recall,F1-Score
Jarak Dekat (< 7m),Dengan Restorasi,74.55%,0.75,0.78
Jarak Menengah (7-12m),Dengan Restorasi,68.18%,0.68,0.69
Jarak Jauh (>= 12m),Dengan Restorasi,35.33%,0.35,0.35
Ketinggian 1.5m,Dengan Restorasi,62.46%,0.62,0.65
Ketinggian 3m,Dengan Restorasi,63.64%,0.64,0.66
Ketinggian 4m,Dengan Restorasi,63.93%,0.64,0.66
Ketinggian 5m,Dengan Restorasi,44.28%,0.44,0.43
Semua Data Uji,Dengan Restorasi,58.58%,0.59,0.61
