Skenario,Metode,Akurasi (Top-1),Recall,F1-Score
Jarak Dekat (< 7m),Dengan Restorasi,77.27%,0.77,0.79
Jarak Menengah (7-12m),Dengan Restorasi,70.68%,0.71,0.70
Jarak Jauh (>= 12m),Dengan Restorasi,40.29%,0.40,0.39
Ketinggian 1.5m,Dengan Restorasi,64.81%,0.65,0.66
Ketinggian 3m,Dengan Restorasi,67.45%,0.67,0.68
Ketinggian 4m,Dengan Restorasi,66.86%,0.67,0.67
Ketinggian 5m,Dengan Restorasi,48.97%,0.49,0.47
Semua Data Uji,Dengan Restorasi,62.02%,0.62,0.63
