Skenario,Metode,Akurasi (Top-1),Recall,F1-Score,Peningkatan
Jarak Dekat (< 7m),Tanpa Restorasi,84.10%,0.84,0.85,
Jarak Dekat (< 7m),Dengan Restorasi,77.73%,0.78,0.79,-7.6%
Jarak Menengah (7-12m),Tanpa Restorasi,57.40%,0.57,0.61,
Jarak Menengah (7-12m),Dengan Restorasi,72.05%,0.72,0.72,+25.5%
Jarak Jauh (>= 12m),Tanpa Restorasi,10.67%,0.11,0.04,
Jarak Jauh (>= 12m),Dengan Restorasi,41.32%,0.41,0.39,+287.3%
Ketinggian 1.5m,Tanpa Restorasi,58.53%,0.58,0.65,
Ketinggian 1.5m,Dengan Restorasi,65.40%,0.65,0.66,+11.7%
Ketinggian 3m,Tanpa Restorasi,58.70%,0.59,0.64,
Ketinggian 3m,Dengan Restorasi,71.26%,0.71,0.72,+21.4%
Ketinggian 4m,Tanpa Restorasi,51.76%,0.52,0.57,
Ketinggian 4m,Dengan Restorasi,66.86%,0.67,0.66,+29.2%
Ketinggian 5m,Tanpa Restorasi,28.31%,0.28,0.29,
Ketinggian 5m,Dengan Restorasi,48.39%,0.48,0.48,+70.9%
Semua Data Uji,Tanpa Restorasi,49.44%,0.49,0.55,
Semua Data Uji,Dengan Restorasi,62.98%,0.63,0.64,+27.4%
