Skenario,Metode,Akurasi (Top-1),Recall,F1-Score,Peningkatan
Jarak Dekat (< 7m),Tanpa Restorasi,83.87%,0.84,0.85,
Jarak Dekat (< 7m),Dengan Restorasi,77.95%,0.78,0.79,-7.1%
Jarak Menengah (7-12m),Tanpa Restorasi,49.66%,0.50,0.54,
Jarak Menengah (7-12m),Dengan Restorasi,71.14%,0.71,0.70,+43.3%
Jarak Jauh (>= 12m),Tanpa Restorasi,9.83%,0.10,0.05,
Jarak Jauh (>= 12m),Dengan Restorasi,38.84%,0.39,0.37,+295.0%
Ketinggian 1.5m,Tanpa Restorasi,56.76%,0.57,0.63,
Ketinggian 1.5m,Dengan Restorasi,64.81%,0.65,0.66,+14.2%
Ketinggian 3m,Tanpa Restorasi,54.28%,0.54,0.61,
Ketinggian 3m,Dengan Restorasi,68.04%,0.68,0.69,+25.3%
Ketinggian 4m,Tanpa Restorasi,46.18%,0.46,0.54,
Ketinggian 4m,Dengan Restorasi,65.98%,0.66,0.66,+42.9%
Ketinggian 5m,Tanpa Restorasi,28.61%,0.29,0.31,
Ketinggian 5m,Dengan Restorasi,48.68%,0.49,0.47,+70.1%
Semua Data Uji,Tanpa Restorasi,46.56%,0.47,0.53,
Semua Data Uji,Dengan Restorasi,61.88%,0.62,0.63,+32.9%
