Skenario,Metode,Akurasi (Top-1),Recall,F1-Score
Jarak Dekat (< 7m),Dengan Restorasi,75.91%,0.76,0.78
Jarak Menengah (7-12m),Dengan Restorasi,74.09%,0.74,0.73
Jarak Jauh (>= 12m),Dengan Restorasi,40.50%,0.40,0.39
Ketinggian 1.5m,Dengan Restorasi,63.93%,0.64,0.65
Ketinggian 3m,Dengan Restorasi,71.55%,0.72,0.72
Ketinggian 4m,Dengan Restorasi,68.33%,0.68,0.68
Ketinggian 5m,Dengan Restorasi,47.21%,0.47,0.46
Semua Data Uji,Dengan Restorasi,62.76%,0.63,0.63
