Skenario,Metode,Akurasi (Top-1),Recall,F1-Score
Jarak Dekat (< 7m),Dengan Restorasi,76.59%,0.77,0.79
Jarak Menengah (7-12m),Dengan Restorasi,73.64%,0.74,0.73
Jarak Jauh (>= 12m),Dengan Restorasi,43.18%,0.43,0.41
Ketinggian 1.5m,Dengan Restorasi,66.86%,0.67,0.67
Ketinggian 3m,Dengan Restorasi,71.85%,0.72,0.72
Ketinggian 4m,Dengan Restorasi,69.79%,0.70,0.70
Ketinggian 5m,Dengan Restorasi,46.63%,0.47,0.46
Semua Data Uji,Dengan Restorasi,63.78%,0.64,0.65
